CG_ID,Name_KO,Category,Characters,Background,File_Path,Thumbnail_Path,Unlock_Condition,Is_Hidden,Description
CG_School_High,고등학교 입학,Event,루아;이노,BG_School,CG/School_High.png,Thumbnails/CG_School_High.png,Event_EVT_AGE_016_HIGH,FALSE,고등학교 입학
CG_School_Graduation,졸업식,Event,루아;이노,BG_School,CG/School_Graduation.png,Thumbnails/CG_School_Graduation.png,Event_EVT_SCHOOL_GRADUATION,FALSE,학교 졸업식
CG_Room_Conflict,사춘기 갈등,Event,루아;이노,BG_Room_Night,CG/Room_Conflict.png,Thumbnails/CG_Room_Conflict.png,Event_EVT_AGE_012_PUBERTY,FALSE,12세 사춘기 갈등
CG_Adult_Ceremony,성인식,Event,루아;이노,BG_Castle_Throne,CG/Adult_Ceremony.png,Thumbnails/CG_Adult_Ceremony.png,Event_EVT_AGE_018_ADULT,FALSE,18세 성인식

# 계절/기념일 CG
CG_NewYear,새해,Event,루아;이노,BG_Room_Morning,CG/Season_NewYear.png,Thumbnails/CG_NewYear.png,Event_EVT_NEWYEAR,FALSE,새해 첫날
CG_Valentine,발렌타인데이,Event,루아;이노,BG_Room_Day,CG/Season_Valentine.png,Thumbnails/CG_Valentine.png,Event_EVT_VALENTINE,FALSE,발렌타인데이
CG_CherryBlossom,벚꽃놀이,Event,루아;이노,BG_Park_Day,CG/Season_CherryBlossom.png,Thumbnails/CG_CherryBlossom.png,Event_EVT_CHERRYBLOSSOM,FALSE,봄 벚꽃놀이
CG_ChildrenDay,어린이날,Event,루아;이노,BG_Room_Day,CG/Season_ChildrenDay.png,Thumbnails/CG_ChildrenDay.png,Event_EVT_CHILDRENDAY,FALSE,어린이날
CG_Summer_Beach,여름방학,Event,루아;이노,BG_Beach,CG/Season_Summer.png,Thumbnails/CG_Summer_Beach.png,Event_EVT_SUMMER_VACATION,FALSE,여름 해변
CG_Sports_Day,운동회,Event,루아;이노,BG_Stadium,CG/Season_SportsDay.png,Thumbnails/CG_Sports_Day.png,Event_EVT_SPORTS_DAY,FALSE,학교 운동회
CG_Autumn_Leaves,단풍놀이,Event,루아;이노,BG_Park_Autumn,CG/Season_Autumn.png,Thumbnails/CG_Autumn_Leaves.png,Event_EVT_AUTUMN,FALSE,가을 단풍놀이
CG_Christmas,크리스마스,Event,루아;이노,BG_Room_Night,CG/Season_Christmas.png,Thumbnails/CG_Christmas.png,Event_EVT_CHRISTMAS,FALSE,크리스마스

# NPC 이벤트 CG
CG_Aileen_Confession,아이린 고백,Event,루아;아이린,BG_Room_Day,CG/NPC_Aileen_Confession.png,Thumbnails/CG_Aileen_Confession.png,Event_EVT_AILEEN_CONFESSION,FALSE,아이린의 이노에 대한 고백
CG_Kyle_Respect,카일 존경,Event,루아;카일,BG_None,CG/NPC_Kyle_Respect.png,Thumbnails/CG_Kyle_Respect.png,Event_EVT_KYLE_GROWTH,FALSE,카일의 루아 성장 인정
CG_Lian_Secret,리안 비밀,Event,루아;리안,BG_Human_World_Lab,CG/NPC_Lian_Secret.png,Thumbnails/CG_Lian_Secret.png,Event_EVT_LIAN_SECRET,FALSE,리안의 특별한 능력 비밀

# 엔딩 CG
CG_Ending_Queen,여왕의 길,Ending,루아;이노,BG_Castle_Throne,CG/Ending_Queen.png,Thumbnails/CG_Ending_Queen.png,Ending_END_001,FALSE,왕국의 여왕이 된 루아
CG_Ending_Scholar,현명한 학자,Ending,루아;이노,BG_Library,CG/Ending_Scholar.png,Thumbnails/CG_Ending_Scholar.png,Ending_END_002,FALSE,학자가 된 루아
CG_Ending_Idol,반짝이는 아이돌,Ending,루아;아이린,BG_Concert,CG/Ending_Idol.png,Thumbnails/CG_Ending_Idol.png,Ending_END_003,FALSE,아이돌 스타가 된 루아
CG_Ending_Artist,예술가의 길,Ending,루아,BG_Gallery,CG/Ending_Artist.png,Thumbnails/CG_Ending_Artist.png,Ending_END_004,FALSE,예술가가 된 루아
CG_Ending_Athlete,강인한 운동선수,Ending,루아;이노,BG_Stadium,CG/Ending_Athlete.png,Thumbnails/CG_Ending_Athlete.png,Ending_END_005,FALSE,운동선수가 된 루아
CG_Ending_Saint,성스러운 성녀,Ending,루아,BG_Cathedral,CG/Ending_Saint.png,Thumbnails/CG_Ending_Saint.png,Ending_END_006,FALSE,성녀가 된 루아
CG_Ending_Explorer,인간 세계 탐구자,Ending,루아;리안,BG_Human_World_Lab,CG/Ending_Explorer.png,Thumbnails/CG_Ending_Explorer.png,Ending_END_007,FALSE,인간 세계 탐구자가 된 루아
CG_Ending_Teacher,따뜻한 교사,Ending,루아;이노,BG_Classroom,CG/Ending_Teacher.png,Thumbnails/CG_Ending_Teacher.png,Ending_END_008,FALSE,교사가 된 루아
CG_Ending_Cook,요리 연구가,Ending,루아;이노,BG_Kitchen,CG/Ending_Cook.png,Thumbnails/CG_Ending_Cook.png,Ending_END_009,FALSE,요리 연구가가 된 루아
CG_Ending_Leader,사교적 리더,Ending,루아;이노;아이린;카일;리안,BG_Party,CG/Ending_Leader.png,Thumbnails/CG_Ending_Leader.png,Ending_END_010,FALSE,사교적 리더가 된 루아
CG_Ending_Balanced,균형잡힌 인재,Ending,루아;이노,BG_Office,CG/Ending_Balanced.png,Thumbnails/CG_Ending_Balanced.png,Ending_END_011,FALSE,균형잡힌 인재가 된 루아
CG_Ending_Normal,평범한 행복,Ending,루아;이노,BG_Room_Night,CG/Ending_Normal.png,Thumbnails/CG_Ending_Normal.png,Ending_END_012,FALSE,평범한 행복을 찾은 루아
CG_Ending_Free,자유로운 영혼,Ending,루아;이노,BG_Travel,CG/Ending_Free.png,Thumbnails/CG_Ending_Free.png,Ending_END_013,FALSE,자유로운 영혼이 된 루아

# 히든 엔딩 CG
CG_Hidden_Connector,차원의 연결자,Ending,루아;리안;이노,BG_Dimension_Gate,CG/Hidden_Connector.png,Thumbnails/CG_Hidden_Connector.png,Ending_END_HIDDEN_001,TRUE,히든 엔딩 1 - 차원의 연결자
CG_Hidden_Queen,새로운 여왕,Ending,루아;이노;현여왕,BG_Castle_Throne_New,CG/Hidden_Queen.png,Thumbnails/CG_Hidden_Queen.png,Ending_END_HIDDEN_002,TRUE,히든 엔딩 2 - 새로운 여왕

# 캐릭터 CG (표정 변화)
CG_Ino_Blush,이노 부끄러움,Character,이노,BG_None,CG/Chara_Ino_Blush.png,Thumbnails/CG_Ino_Blush.png,Favor_Ino>=80,FALSE,이노의 부끄러워하는 표정
CG_Ino_Happy,이노 행복,Character,이노,BG_None,CG/Chara_Ino_Happy.png,Thumbnails/CG_Ino_Happy.png,Favor_Ino>=40,FALSE,이노의 행복한 표정
CG_Ino_Serious,이노 진지,Character,이노,BG_None,CG/Chara_Ino_Serious.png,Thumbnails/CG_Ino_Serious.png,Favor_Ino>=20,FALSE,이노의 진지한 표정
CG_Aileen_Blush,아이린 부끄러움,Character,아이린,BG_None,CG/Chara_Aileen_Blush.png,Thumbnails/CG_Aileen_Blush.png,Favor_Aileen>=80,FALSE,아이린의 부끄러워하는 표정
CG_Aileen_Happy,아이린 행복,Character,아이린,BG_None,CG/Chara_Aileen_Happy.png,Thumbnails/CG_Aileen_Happy.png,Favor_Aileen>=40,FALSE,아이린의 행복한 표정
CG_Kyle_Smile,카일 미소,Character,카일,BG_None,CG/Chara_Kyle_Smile.png,Thumbnails/CG_Kyle_Smile.png,Favor_Kyle>=80,FALSE,카일의 미소 짓는 표정
CG_Lian_Blush,리안 부끄러움,Character,리안,BG_None,CG/Chara_Lian_Blush.png,Thumbnails/CG_Lian_Blush.png,Favor_Lian>=80,FALSE,리안의 부끄러워하는 표정
CG_Lian_Happy,리안 행복,Character,리안,BG_None,CG/Chara_Lian_Happy.png,Thumbnails/CG_Lian_Happy.png,Favor_Lian>=60,FALSE,리안의 행복한 표정

# 특별 CG
CG_First_Meet_Lian,리안 첫 만남,Special,루아;리안,BG_Street_Night,CG/Special_FirstMeet_Lian.png,Thumbnails/CG_First_Meet_Lian.png,Event_EVT_BIRTHDAY_013,FALSE,리안과의 첫 만남 장면
CG_Promise_Ring,약속의 반지,Special,루아;이노,BG_Room_Night,CG/Special_Promise_Ring.png,Thumbnails/CG_Promise_Ring.png,Event_EVT_BIRTHDAY_016,FALSE,16세 생일 반지 선물
