Dialogue_ID,NPC_ID,NPC_Name,Favor_Level,Event_Order,Event_Name,Condition_Type,Condition_Value,CG_Variation,BGM_ID,Next_Dialogue_ID,Chapter_Note,Choice_Count,Result_ID_1,Result_ID_2
D_Aileen_L5_001,NPC_Aileen,아이린,5,1,영원한 우정,Favor,LevelUp,,,,레벨 5 도달,2,D_Aileen_L5_001_Result1,D_Aileen_L5_001_Result2
# 카일 - 레벨 1 (0~20): 첫 만남,,,,,,,,,,,,,,
D_Kyle_L1_001,NPC_Kyle,카일,1,1,은밀한 등장,Time,Night,,,,밤 시간대,2,D_Kyle_L1_001_Result1,D_Kyle_L1_001_Result2
D_Kyle_L1_002,NPC_Kyle,카일,1,2,호위자의 고민,Age,Age>=9,,,,연령 9세 이상,2,D_Kyle_L1_002_Result1,D_Kyle_L1_002_Result2
# 카일 - 레벨 2 (21~40): 신뢰,,,,,,,,,,,,,,
D_Kyle_L2_001,NPC_Kyle,카일,2,1,왕국 소식 전달,Favor,LevelUp,,,,레벨 2 도달,2,D_Kyle_L2_001_Result1,D_Kyle_L2_001_Result2
D_Kyle_L2_002,NPC_Kyle,카일,2,2,비밀 훈련,Stat,HP>=100,,,,체력 100 이상,2,D_Kyle_L2_002_Result1,D_Kyle_L2_002_Result2
# 카일 - 레벨 3 (41~60): 깊은 신뢰,,,,,,,,,,,,,,
D_Kyle_L3_001,NPC_Kyle,카일,3,1,진심 어린 조언,Favor,LevelUp,,,,레벨 3 도달,2,D_Kyle_L3_001_Result1,D_Kyle_L3_001_Result2
D_Kyle_L3_002,NPC_Kyle,카일,3,2,여왕에 대한 이야기,Age,Age>=15,,,,연령 15세 이상,2,D_Kyle_L3_002_Result1,D_Kyle_L3_002_Result2
# 카일 - 레벨 4 (61~80): 충성,,,,,,,,,,,,,,
D_Kyle_L4_001,NPC_Kyle,카일,4,1,카일의 비밀,Favor,LevelUp,,,,레벨 4 도달,2,D_Kyle_L4_001_Result1,D_Kyle_L4_001_Result2
D_Kyle_L4_002,NPC_Kyle,카일,4,2,평생의 맹세,Age,Age>=17,,,,연령 17세 이상,2,D_Kyle_L4_002_Result1,D_Kyle_L4_002_Result2
# 카일 - 레벨 5 (81~100): 절대 충성,,,,,,,,,,,,,,
D_Kyle_L5_001,NPC_Kyle,카일,5,1,최후의 보호,Favor,LevelUp,,,,레벨 5 도달,2,D_Kyle_L5_001_Result1,D_Kyle_L5_001_Result2
# 리안 - 레벨 3 (50~60): 특별한 인연 (13세부터),,,,,,,,,,,,,,
D_Lian_L3_001,NPC_Lian,리안,3,1,첫 만남 (13세),Age,Age=13,,BGM_Mysterious,,13세 생일 첫 등장,2,D_Lian_L3_001_Result1,D_Lian_L3_001_Result2
D_Lian_L3_002,NPC_Lian,리안,3,2,비밀의 공유,Event,FirstMeet,,,,첫 만남 후,2,D_Lian_L3_002_Result1,D_Lian_L3_002_Result2
D_Lian_L3_003,NPC_Lian,리안,3,3,인간 세계의 이야기,Age,Age>=14,,,,연령 14세 이상,2,D_Lian_L3_003_Result1,D_Lian_L3_003_Result2
# 리안 - 레벨 4 (61~80): 특별한 친구,,,,,,,,,,,,,,
D_Lian_L4_001,NPC_Lian,리안,4,1,능력의 비밀,Favor,LevelUp,,,,레벨 4 도달,2,D_Lian_L4_001_Result1,D_Lian_L4_001_Result2
D_Lian_L4_002,NPC_Lian,리안,4,2,솔직한 고백,Time,Night,,,,밤 시간대,2,D_Lian_L4_002_Result1,D_Lian_L4_002_Result2
# 리안 - 레벨 5 (81~100): 영원한 인연,,,,,,,,,,,,,,
D_Lian_L5_001,NPC_Lian,리안,5,1,두 세계의 연결자,Favor,LevelUp,,,,레벨 5 도달,2,D_Lian_L5_001_Result1,D_Lian_L5_001_Result2
D_Lian_L5_002,NPC_Lian,리안,5,2,마지막 약속,Age,Age=18,,BGM_Ending,END_HIDDEN_001,18세 최종 선택,2,D_Lian_L5_002_Result1,D_Lian_L5_002_Result2
