Event_ID,Name_KO,Type,Trigger_Type,Trigger_Value,Required_Previous_Event,Age_Min,Age_Max,Month,Day,Stat_Condition,NPC_Condition,Script_Path,CG_ID,BGM_ID,Next_Event,Is_Repeatable,Is_Hidden,Priority,Description
EVT_SUMMER_VACATION,여름방학 (7-8월),Fixed,Date,Date=0701-0831,,,,7,8,,,Events/Season_Summer.json,CG_Summer_Beach,BGM_Summer,,TRUE,FALSE,5,여름방학 이벤트 (반복)
EVT_SPORTS_DAY,운동회 (10월),Fixed,Date,Date=1001-1031,,6,15,10,,,,Events/Season_SportsDay.json,CG_Sports_Day,BGM_Sports,,TRUE,FALSE,5,학교 운동회 이벤트 (반복)
EVT_AUTUMN,단풍놀이 (11월),Fixed,Date,Date=1101-1130,,,,11,,,,Events/Season_Autumn.json,CG_Autumn_Leaves,BGM_Autumn,,TRUE,FALSE,5,가을 단풍놀이 이벤트 (반복)
EVT_CHRISTMAS,크리스마스 (12월 25일),Fixed,Date,Date=1225,,,,12,25,,,Events/Season_Christmas.json,CG_Christmas,BGM_Christmas,,TRUE,FALSE,6,크리스마스 이벤트 (반복)

# 학교 이벤트
EVT_SCHOOL_ENTRANCE,입학식,Fixed,Event,Story:School_Entrance,,,,,,,,Events/School_Entrance.json,CG_School_Entrance,BGM_School,,FALSE,FALSE,7,학교 입학식
EVT_SCHOOL_GRADUATION,졸업식,Fixed,Event,Story:School_Graduation,,,,,,,,Events/School_Graduation.json,CG_School_Graduation,BGM_Graduation,,FALSE,FALSE,7,학교 졸업식

# NPC 이벤트
EVT_AILEEN_CONFESSION,아이린 - 이노에 대한 고백,NPC,Favor,Favor_Aileen>=70,,14,18,,,,Favor_Aileen>=70,Events/NPC_Aileen_Confession.json,CG_Aileen_Confession,BGM_Sad,,FALSE,FALSE,8,아이린의 고백 이벤트
EVT_KYLE_GROWTH,카일 - 루아의 성장,NPC,Favor,Favor_Kyle>=60,,15,18,,,,Favor_Kyle>=60,Events/NPC_Kyle_Growth.json,CG_Kyle_Respect,BGM_Dignified,,FALSE,FALSE,8,카일의 성장 인정 이벤트
EVT_LIAN_SECRET,리안 - 특별한 능력의 비밀,NPC,Favor,Favor_Lian>=60,,15,18,,,,Favor_Lian>=60,Events/NPC_Lian_Secret.json,CG_Lian_Secret,BGM_Mysterious,,FALSE,FALSE,10,리안의 비밀 밝혀짐 이벤트

# 히든 이벤트
EVT_HIDDEN_CONNECTOR,차원의 연결자 (히든 엔딩 1),Hidden,Favor,Favor_Lian>=80,EVT_LIAN_SECRET,18,18,,,,Favor_Lian>=80,Events/Hidden_Connector.json,CG_Hidden_Connector,BGM_Hidden,END_HIDDEN_001,FALSE,TRUE,1,히든 엔딩 1 - 차원의 연결자
EVT_HIDDEN_QUEEN,새로운 여왕 (히든 엔딩 2),Hidden,Favor,Favor_Ino>=80,EVT_AILEEN_CONFESSION,18,18,,,,Favor_Ino>=80,Events/Hidden_Queen.json,CG_Hidden_Queen,BGM_Hidden,END_HIDDEN_002,FALSE,TRUE,1,히든 엔딩 2 - 새로운 여왕

# 랜덤 이벤트 샘플
EVT_RANDOM_STUDY,랜덤 학습 이벤트,Random,Random,Random=20%,,6,18,,,INT<500,,Events/Random_Study.json,,BGM_Calm,,TRUE,FALSE,3,랜덤 발생 학습 관련 이벤트
EVT_RANDOM_FRIEND,랜덤 친구 이벤트,Random,Random,Random=15%,,6,18,,,,,Events/Random_Friend.json,,BGM_Happy,,TRUE,FALSE,3,랜덤 발생 친구 관련 이벤트
EVT_RANDOM_STRESS,랜덤 스트레스 이벤트,Random,Random,Random=25%,,6,18,,,Stress>=50,,Events/Random_Stress.json,,BGM_Sad,,TRUE,FALSE,4,스트레스 높을 때 발생 이벤트
