Dialogue_ID,Text_Type,Sequence,Text_Content
D_Ino_L3_002,Dialogue,3,"뭐, 뭐예요? 왜 저를 쳐다보는 거예요 둘 다?"
D_Ino_L3_002,Dialogue,4,...뭔가 이상한데요?
D_Ino_L3_002,Result,1,"호감도 +40, 아이린 호감도 +28"
D_Ino_L3_002,Result,2,"호감도 +22, 아이린 호감도 +40"
D_Ino_L3_003,Dialogue,1,"루아씨, 많이 크셨네요..."
D_Ino_L3_003,Dialogue,2,처음 만났을 때는 이렇게 작았는데...
D_Ino_L3_003,Dialogue,3,정말 잘 자라줘서 고마워요. 루아씨가 있어서 저도 성장할 수 있었어요.
D_Ino_L3_003,Result,1,호감도 +35
D_Ino_L3_003,Result,2,"호감도 +40, 스트레스 -10"
D_Ino_L3_004,Dialogue,1,루아씨가 요즘 ○○○에 관심이 많아 보이는데...
D_Ino_L3_004,Dialogue,2,저도 같이 배워볼까요?
D_Ino_L3_004,Dialogue,3,"뭐, 제가 서툴지만... 루아씨와 함께라면 재미있을 것 같아요!"
D_Ino_L3_004,Result,1,"호감도 +28, 관련 스탯 +5"
D_Ino_L3_004,Result,2,호감도 +22
D_Ino_L4_001,Dialogue,1,루아씨... 사실... 저에게도 고민이 있어요.
D_Ino_L4_001,Dialogue,2,조사 일을 하면서... 인간 세계에 적응하는 게 힘들 때가 많거든요.
D_Ino_L4_001,Dialogue,3,하지만 루아씨가 있어서 버틸 수 있어요. 고마워요.
D_Ino_L4_001,Result,1,"호감도 +35, 도덕성 +3"
D_Ino_L4_001,Result,2,호감도 +40
D_Ino_L4_002,Dialogue,1,오늘은 특별한 날이잖아요?
D_Ino_L4_002,Dialogue,2,제가 진짜 제대로 요리해봤어요!
D_Ino_L4_002,Dialogue,3,...이번엔 진짜 먹을 수 있을 거예요!
D_Ino_L4_002,Dialogue,4,...그러면 좋겠네요.
D_Ino_L4_002,Result,1,"호감도 +28, 체력 +10"
D_Ino_L4_002,Result,2,호감도 +35
D_Ino_L4_003,Dialogue,1,루아씨는 앞으로 어떤 미래를 그리고 있어요?
D_Ino_L4_003,Dialogue,2,여왕이 되는 것도 좋지만... 다른 길을 선택해도 괜찮아요.
D_Ino_L4_003,Dialogue,3,루아씨가 행복한 게 가장 중요하니까요.
D_Ino_L4_003,Dialogue,4,...저는 어떤 선택을 하든 응원할게요.
D_Ino_L4_003,Result,1,호감도 +45
D_Ino_L4_003,Result,2,호감도 +22
D_Ino_L5_001,Dialogue,1,루아씨... 저 말이에요...
D_Ino_L5_001,Dialogue,2,처음에는 그냥 맡아진 아이였는데...
D_Ino_L5_001,Dialogue,3,이제는 루아씨가 없는 삶을 상상할 수 없어요.
D_Ino_L5_001,Dialogue,4,저... 루아씨를 정말 소중하게 생각해요.
D_Ino_L5_001,Result,1,"호감도 +55, 스트레스 -15"
D_Ino_L5_001,Result,2,호감도 +400
D_Ino_L5_002,Dialogue,1,"루아씨, 18세가 되었네요..."
D_Ino_L5_002,Dialogue,2,이제 선택해야 할 시간이에요.
D_Ino_L5_002,Dialogue,3,어떤 선택을 하든... 저는 루아씨를 지지해요.
D_Ino_L5_002,Dialogue,4,그리고... 루아씨가 선택한 미래에 함께할게요.
D_Ino_L5_002,Dialogue,5,약속할게요.
D_Ino_L5_002,Result,1,"호감도 +45, 모든 스탯 +5"
D_Ino_L5_002,Result,2,"호감도 +55, 특별 엔딩 조건 충족"
D_Aileen_L1_001,Dialogue,1,안녕~! 나는 아이린! 이노의 소꿉친구야!
D_Aileen_L1_001,Dialogue,2,이노가 여기서 뭔가를 키운다는데... 네가 그 아이구나?
D_Aileen_L1_001,Dialogue,3,"어머, 너무 귀엽다! 마카롱 같아!"
D_Aileen_L1_001,Dialogue,4,"앗, 나는 마카롱이지만... 아무튼!"
D_Aileen_L1_001,Result,1,호감도 +28
D_Aileen_L1_001,Result,2,"호감도 +40, 매력 +2"
D_Aileen_L1_002,Dialogue,1,루아~! 내가 옷 몇 벌 가져왔어!
D_Aileen_L1_002,Dialogue,2,"내가 디자인한 거야! 어때, 예쁘지?"
D_Aileen_L1_002,Dialogue,3,이노는 패션 감각이 전혀 없으니까... 내가 챙겨줘야지!
D_Aileen_L1_002,Result,1,"호감도 +40, 매력 +3"
D_Aileen_L1_002,Result,2,호감도 +28
D_Aileen_L1_003,Dialogue,1,"루아, 쇼핑 같이 갈래?"
D_Aileen_L1_003,Dialogue,2,"인간 세계의 옷가게, 너무 예쁜 것들이 많아!"
D_Aileen_L1_003,Dialogue,3,내가 예쁘게 입혀줄게~
D_Aileen_L1_003,Result,1,"호감도 +22, 매력 +5"
D_Aileen_L1_003,Result,2,"호감도 +28, 이노 호감도 +40"
D_Aileen_L2_001,Dialogue,1,루아도 이제 많이 컸네~
D_Aileen_L2_001,Dialogue,2,학교에서... 혹시 좋아하는 사람 있어?
D_Aileen_L2_001,Dialogue,3,...이노 말고! 진짜로!
D_Aileen_L2_001,Dialogue,4,"하하, 농담이야~"
D_Aileen_L2_001,Result,1,"호감도 +28, 스트레스 -3"
D_Aileen_L2_001,Result,2,"호감도 +40, 스트레스 +2"
D_Aileen_L2_002,Dialogue,1,이노랑은 잘 지내?
D_Aileen_L2_002,Dialogue,2,"그 애, 서투르지만 마음씨는 참 좋거든..."
D_Aileen_L2_002,Dialogue,3,"처음엔 걱정했는데, 루아를 잘 챙기는 것 같아서 다행이야."
D_Aileen_L2_002,Result,1,호감도 +40
D_Aileen_L2_002,Result,2,"호감도 +28, 이노 호감도 +28"
D_Aileen_L2_003,Dialogue,1,"루아, 요즘 예뻐 보이는 것 같아!"
D_Aileen_L2_003,Dialogue,2,혹시... 나한테서 배운 거야?
D_Aileen_L2_003,Dialogue,3,"후훗, 뿌듯하네~"
D_Aileen_L2_003,Result,1,"호감도 +22, 매력 +5"
D_Aileen_L2_003,Result,2,"호감도 +40, 매력 +3"
D_Aileen_L3_001,Dialogue,1,"루아, 요즘 여왕이 되는 거에 대해 어떻게 생각해?"
D_Aileen_L3_001,Dialogue,2,나도 가끔... 왕국에서 이노를 보러 오면 생각해.
D_Aileen_L3_001,Dialogue,3,네가 선택한 길을 응원할게.
D_Aileen_L3_001,Result,1,호감도 +40
D_Aileen_L3_001,Result,2,"호감도 +28, 스트레스 -5"
D_Aileen_L3_002,Dialogue,1,"생일 축하해, 루아!"
D_Aileen_L3_002,Dialogue,2,내가 특별히 디자인한 드레스야!
D_Aileen_L3_002,Dialogue,3,네가 언젠가 여왕이 되면 입을 예쁜 옷이지~
D_Aileen_L3_002,Dialogue,4,...물론 다른 길을 선택해도 예쁘게 입을 수 있지만!
D_Aileen_L3_002,Result,1,"호감도 +35, 매력 +8"
D_Aileen_L3_002,Result,2,"호감도 +22, 스트레스 -3"
D_Aileen_L3_003,Dialogue,1,루아... 솔직히 말해도 돼?
D_Aileen_L3_003,Dialogue,2,나는 이노를... 좋아했었어.
D_Aileen_L3_003,Dialogue,3,그런데 지금은 루아랑 함께 있는 모습을 보는 게 더 좋아.
D_Aileen_L3_003,Dialogue,4,너희 둘이 행복하면... 나도 행복해.
D_Aileen_L3_003,Result,1,호감도 +40
D_Aileen_L3_003,Result,2,"호감도 +35, 이노 호감도 +28"
D_Aileen_L4_001,Dialogue,1,"루아, 내가 널 위해서 특별한 걸 만들고 있어!"
D_Aileen_L4_001,Dialogue,2,18세가 되면 네가 선택할 미래를 위한...
D_Aileen_L4_001,Dialogue,3,특별한 의상이지!
D_Aileen_L4_001,Dialogue,4,어떤 미래를 선택하든 예쁘게 꾸며줄게!
D_Aileen_L4_001,Result,1,"호감도 +35, 매력 +5"
D_Aileen_L4_001,Result,2,"호감도 +28, 스트레스 -5"
D_Aileen_L4_002,Dialogue,1,"루아, 왕국에 놀러 올래?"
D_Aileen_L4_002,Dialogue,2,내가 있는 곳도 보여주고 싶어.
D_Aileen_L4_002,Dialogue,3,물론 이노도 데리고 오면 좋고...
D_Aileen_L4_002,Dialogue,4,아니면 우리 둘만 비밀 여행?
D_Aileen_L4_002,Result,1,"호감도 +22, 이노 호감도 +28"
D_Aileen_L4_002,Result,2,호감도 +40
D_Aileen_L5_001,Dialogue,1,루아... 네가 어떤 선택를 하든...
D_Aileen_L5_001,Dialogue,2,나는 네 친구로 남을 거야.
D_Aileen_L5_001,Dialogue,3,"평생, 정말이지."
D_Aileen_L5_001,Dialogue,4,"여왕이 되든, 다른 길을 가든... 너는 내 소중한 친구야."
D_Aileen_L5_001,Result,1,호감도 +55
D_Aileen_L5_001,Result,2,"호감도 +400, 스트레스 -10"
D_Kyle_L1_001,Dialogue,1,...안녕하십니까.
D_Kyle_L1_001,Dialogue,2,전 루아 님을 지키는 카일입니다.
D_Kyle_L1_001,Dialogue,3,항상 멀리서 지켜보고 있습니다. 걱정 마십시오.
D_Kyle_L1_001,Dialogue,4,...그럼 실례하겠습니다.
D_Kyle_L1_001,Result,1,호감도 +40
D_Kyle_L1_001,Result,2,호감도 +28
D_Kyle_L1_002,Dialogue,1,"루아 님, 혹시 위험한 일은 없으셨습니까?"
D_Kyle_L1_002,Dialogue,2,"그... 이노 님께서는 성실하신데, 다소 서투르시니..."
D_Kyle_L1_002,Dialogue,3,"아, 제가 이런 말을 해도 되는 건지..."
D_Kyle_L1_002,Dialogue,4,죄송합니다.
D_Kyle_L1_002,Result,1,"호감도 +28, 이노 호감도 +40"
D_Kyle_L1_002,Result,2,호감도 +40
D_Kyle_L2_001,Dialogue,1,"루아 님, 왕국에서 편지가 왔습니다."
D_Kyle_L2_001,Dialogue,2,여왕께서 루아 님의 근황을 물어보시고...
D_Kyle_L2_001,Dialogue,3,그리고 저에게 루아 님을 잘 지키라고...
D_Kyle_L2_001,Dialogue,4,...부탁하셨습니다.
D_Kyle_L2_001,Result,1,호감도 +40
D_Kyle_L2_001,Result,2,호감도 +22
D_Kyle_L2_002,Dialogue,1,"루아 님, 혹시 호신술에 관심이 있으십니까?"
D_Kyle_L2_002,Dialogue,2,여왕이 되면 위험도 따르니... 기본적인 것이라도...
D_Kyle_L2_002,Dialogue,3,제가 가르쳐 드릴까 합니다.
D_Kyle_L2_002,Result,1,"호감도 +28, 체력 +10"
D_Kyle_L2_002,Result,2,호감도 +28
D_Kyle_L3_001,Dialogue,1,루아 님... 전 사실...
D_Kyle_L3_001,Dialogue,2,루아 님이 어렸을 때부터 지켜보았습니다.
D_Kyle_L3_001,Dialogue,3,그때는 이렇게 커질 줄 몰랐는데...
D_Kyle_L3_001,Dialogue,4,정말 대견스럽습니다.
D_Kyle_L3_001,Result,1,호감도 +35
D_Kyle_L3_001,Result,2,호감도 +40
D_Kyle_L3_002,Dialogue,1,루아 님은 여왕이 되는 것에 대해 어떻게 생각하십니까?
D_Kyle_L3_002,Dialogue,2,의무로 여겨지고 계시다면...
D_Kyle_L3_002,Dialogue,3,그것만은 안 됩니다.
D_Kyle_L3_002,Dialogue,4,스스로 선택하셔야 합니다.
D_Kyle_L3_002,Result,1,"호감도 +22, 스트레스 -5"
D_Kyle_L3_002,Result,2,호감도 +35
D_Kyle_L4_001,Dialogue,1,루아 님... 사실 전...
D_Kyle_L4_001,Dialogue,2,전왕궁에서 쫓겨날 뻔했던 적이 있습니다.
D_Kyle_L4_001,Dialogue,3,그때 루아 님을 처음 만났지요...
D_Kyle_L4_001,Dialogue,4,루아 님이 제 인생을 바꿔주셨습니다.
D_Kyle_L4_001,Result,1,호감도 +28
D_Kyle_L4_001,Result,2,호감도 +40
D_Kyle_L4_002,Dialogue,1,"루아 님, 평생 루아 님을 지켜주겠다고 맹세합니다."
D_Kyle_L4_002,Dialogue,2,어떤 선택를 하시든...
D_Kyle_L4_002,Dialogue,3,어디에 있시든...
D_Kyle_L4_002,Dialogue,4,제 생명이 다하는 그날까지...
D_Kyle_L4_002,Result,1,호감도 +35
D_Kyle_L4_002,Result,2,"호감도 +45, 도덕성 +5"
D_Kyle_L5_001,Dialogue,1,"루아 님, 18세가 되셨군요..."
D_Kyle_L5_001,Dialogue,2,이제 선택의 시간입니다.
D_Kyle_L5_001,Dialogue,3,전 루아 님의 선택를 존중합니다.
D_Kyle_L5_001,Dialogue,4,그리고... 루아 님을 따르겠습니다.
D_Kyle_L5_001,Dialogue,5,어떤 미래라도 함께하겠습니다.
D_Kyle_L5_001,Result,1,호감도 +55
D_Kyle_L5_001,Result,2,"호감도 +400, 특별 엔딩 조건"
D_Lian_L3_001,Dialogue,1,어... 너도... 보이는구나?
D_Lian_L3_001,Dialogue,2,"아, 미안해! 갑자기 이상한 소리를 해서..."
D_Lian_L3_001,Dialogue,3,하지만 정말이야. 너는... 평범한 사람이 아니지?
D_Lian_L3_001,Dialogue,4,나는 리안이야. 그리고 너는...
D_Lian_L3_001,Dialogue,5,...레몬 냄새가 나는구나.
D_Lian_L3_001,Result,1,"호감도 +33, 스트레스 +5"
D_Lian_L3_001,Result,2,호감도 +27
D_Lian_L3_002,Dialogue,1,나는 어릴 때부터... 너 같은 존재를 볼 수 있었어.
D_Lian_L3_002,Dialogue,2,주변에는 말 못했어. 이상하게 볼 것 같아서...
D_Lian_L3_002,Dialogue,3,너도 혼자 힘들었겠다...
D_Lian_L3_002,Dialogue,4,이제 혼자가 아니야.
D_Lian_L3_002,Result,1,"호감도 +45, 스트레스 -5"
D_Lian_L3_002,Result,2,호감도 +33
D_Lian_L3_003,Dialogue,1,너는... 인간 세계에서 어떻게 지내?
D_Lian_L3_003,Dialogue,2,익숙해졌어? 아니면 아직도 어색해?
D_Lian_L3_003,Dialogue,3,내가 도움이 될 수 있는 게 있으면 말해줘.
D_Lian_L3_003,Dialogue,4,나도... 특별한 존재들의 세계에 대해 알고 싶어.
D_Lian_L3_003,Result,1,"호감도 +45, 지능 +3"
D_Lian_L3_003,Result,2,호감도 +27
D_Lian_L4_001,Dialogue,1,사실... 내가 특별한 능력을 가진 이유를 알아냈어.
D_Lian_L4_001,Dialogue,2,내 조상 중에... 디저트 왕국과 인연이 있었대.
D_Lian_L4_001,Dialogue,3,그래서 나도 너희를 볼 수 있는 거야.
D_Lian_L4_001,Dialogue,4,...너랑 만난 건 운명인가 봐.
D_Lian_L4_001,Result,1,호감도 +27
D_Lian_L4_001,Result,2,"호감도 +40, 특별 플래그"
D_Lian_L4_002,Dialogue,1,루아... 솔직히 말하면...
D_Lian_L4_002,Dialogue,2,처음엔 궁금해서 다가갔어.
D_Lian_L4_002,Dialogue,3,하지만 지금은... 네가 좋아.
D_Lian_L4_002,Dialogue,4,인간이든 디저트든 상관없이... 너라는 존재가 좋아.
D_Lian_L4_002,Result,1,호감도 +45
D_Lian_L4_002,Result,2,호감도 +33
D_Lian_L5_001,Dialogue,1,"루아, 네가 18세가 되면 선택해야겠지..."
D_Lian_L5_001,Dialogue,2,"여왕이 될 것인지, 다른 길을 갈 것인지..."
D_Lian_L5_001,Dialogue,3,하지만 기억해.
D_Lian_L5_001,Dialogue,4,어떤 선택를 하든... 나는 네 편이야.
D_Lian_L5_001,Dialogue,5,인간 세계와 디저트 왕국의 다리가 되어줄게.
D_Lian_L5_001,Result,1,호감도 +50
D_Lian_L5_001,Result,2,"호감도 +60, 히든 엔딩 조건"
D_Lian_L5_002,Dialogue,1,루아... 12년 동안 정말 고생 많았어.
D_Lian_L5_002,Dialogue,2,너는 정말 멋지게 자랐어.
D_Lian_L5_002,Dialogue,3,이제 너의 선택이야.
D_Lian_L5_002,Dialogue,4,그리고... 나도 내 선택를 할 거야.
D_Lian_L5_002,Dialogue,5,너와 함께하는 미래를 선택할게.
D_Lian_L5_002,Result,1,호감도 +50
D_Lian_L5_002,Result,2,"호감도 +405, 히든 엔딩 확정"
