Dialogue_ID,Event_ID,NPC_Name,Level,Event_Number,Text_Type,Sequence,Text_Content,Choice_ID,Condition,Target_NPC,Stat_Type,Stat_Change,Flag_Set,Next_Event
D_Ino_2_003_C01,E_Ino_2_003,이노,2,3,Choice,1,정말 고마워. 소중히 간직할게,C_Ino_2_003_01,,,,,,
D_Ino_2_003_01_R06,E_Ino_2_003,이노,2,3,Result,6,,C_Ino_2_003_01,,,Stress,3,,
D_Ino_2_003_C02,E_Ino_2_003,이노,2,3,Choice,2,함께 먹자.,C_Ino_2_003_02,,,,,,
D_Ino_2_004_001,E_Ino_2_004,이노,2,4,Dialogue,1,왕국에서 편지가 왔어요. 루아씨의 근황을 물어보시는 것 같아요.,,,,,,,
D_Ino_2_004_002,E_Ino_2_004,이노,2,4,Dialogue,2,여왕이 되는 것에 대한 생각은... 요즘 어떠세요?,,,,,,,
D_Ino_2_004_003,E_Ino_2_004,이노,2,4,Dialogue,3,아직은 어려운 질문이려나...,,,,,,,
D_Ino_2_004_C01,E_Ino_2_004,이노,2,4,Choice,1,잘 모르겠어...,C_Ino_2_004_01,,,,,,
D_Ino_2_004_01_R05,E_Ino_2_004,이노,2,4,Result,5,,C_Ino_2_004_01,,,Stress,-8,,
D_Ino_2_004_C02,E_Ino_2_004,이노,2,4,Choice,2,생각해본 적 있어,C_Ino_2_004_02,,,,,,
D_Ino_2_004_02_R07,E_Ino_2_004,이노,2,4,Result,7,,C_Ino_2_004_02,,,Morality,2,,
D_Ino_3_001_001,E_Ino_3_001,이노,3,1,Dialogue,1,요즘 학교는 어때요? 재미있어요?,,,,,,,
D_Ino_3_001_002,E_Ino_3_001,이노,3,1,Dialogue,2,"...아, 아니면 힘든 일이 있어요?",,,,,,,
D_Ino_3_001_003,E_Ino_3_001,이노,3,1,Dialogue,3,편하게 말해줘요. 전 언제나 루아씨 편이니까요.,,,,,,,
D_Ino_3_001_C01,E_Ino_3_001,이노,3,1,Choice,1,여왕이 되는 게 무서워,C_Ino_3_001_01,,,,,,
D_Ino_3_001_C02,E_Ino_3_001,이노,3,1,Choice,2,그냥 평범하게 살고 싶어,C_Ino_3_001_02,,,,,,
D_Ino_3_002_001,E_Ino_3_002,이노,3,2,Dialogue,1,"아, 아이린씨가 오늘 놀러 온다고 했죠?",,,,,,,
D_Ino_3_002_002,E_Ino_3_002,이노,3,2,Dialogue,2,둘이서 잘 지내고 있나 해서...,,,,,,,
D_Ino_3_002_003,E_Ino_3_002,이노,3,2,Dialogue,3,"뭐, 뭐예요? 왜 저를 쳐다보는 거예요 둘 다?",,,,,,,
D_Ino_3_002_004,E_Ino_3_002,이노,3,2,Dialogue,4,...뭔가 이상한데요?,,,,,,,
D_Ino_3_002_C01,E_Ino_3_002,이노,3,2,Choice,1,(장난스럽게) 둘이 알아서 해!,C_Ino_3_002_01,,,,,,
D_Ino_3_002_C02,E_Ino_3_002,이노,3,2,Choice,2,우리 셋이 같이 놀자,C_Ino_3_002_02,,,,,,
D_Ino_3_002_02_R07,E_Ino_3_002,이노,3,2,Result,7,,C_Ino_3_002_02,,,Stress,-10,,
D_Ino_3_003_001,E_Ino_3_003,이노,3,3,Dialogue,1,"루아씨, 많이 크셨네요...",,,,,,,
D_Ino_3_003_002,E_Ino_3_003,이노,3,3,Dialogue,2,처음 만났을 때는 이렇게 작았는데...,,,,,,,
D_Ino_3_003_003,E_Ino_3_003,이노,3,3,Dialogue,3,정말 잘 자라줘서 고마워요. 루아씨가 있어서 저도 성장할 수 있었어요.,,,,,,,
D_Ino_3_003_C01,E_Ino_3_003,이노,3,3,Choice,1,"나도 고마워, 이노",C_Ino_3_003_01,,,,,,
D_Ino_3_003_C02,E_Ino_3_003,이노,3,3,Choice,2,(말없이 안아준다),C_Ino_3_003_02,,,,,,
D_Ino_3_004_001,E_Ino_3_004,이노,3,4,Dialogue,1,루아가 요즘 ○○○에 관심이 많아 보이는데...,,,,,,,
D_Ino_3_004_002,E_Ino_3_004,이노,3,4,Dialogue,2,저도 같이 배워볼까요?,,,,,,,
D_Ino_3_004_003,E_Ino_3_004,이노,3,4,Dialogue,3,"뭐, 제가 서툴지만... 루아씨와 함께라면 재미있을 것 같아요!",,,,,,,
D_Ino_3_004_C01,E_Ino_3_004,이노,3,4,Choice,1,같이 하자!,C_Ino_3_004_01,,,,,,
D_Ino_3_004_01_R05,E_Ino_3_004,이노,3,4,Result,5,,C_Ino_3_004_01,,,Morality,3,,
D_Ino_3_004_C02,E_Ino_3_004,이노,3,4,Choice,2,네 페이스에 맞춰줄게,C_Ino_3_004_02,,,,,,
D_Ino_4_001_001,E_Ino_4_001,이노,4,1,Dialogue,1,사실... 저에게도 고민이 있어요.,,,,,,,
D_Ino_4_001_002,E_Ino_4_001,이노,4,1,Dialogue,2,조사 일을 하면서... 인간 세계에 적응하는 게 힘들 때가 많거든요.,,,,,,,
D_Ino_4_001_003,E_Ino_4_001,이노,4,1,Dialogue,3,하지만 루아씨가 있어서 버틸 수 있어요. 고마워요.,,,,,,,
D_Ino_4_001_C01,E_Ino_4_001,이노,4,1,Choice,1,나도 이노를 지지할게,C_Ino_4_001_01,,,,,,
D_Ino_4_001_01_R05,E_Ino_4_001,이노,4,1,Result,5,,C_Ino_4_001_01,,,Health,10,,
D_Ino_4_001_C02,E_Ino_4_001,이노,4,1,Choice,2,힘들 땐 나한테 기대,C_Ino_4_001_02,,,,,,
D_Ino_4_002_001,E_Ino_4_002,이노,4,2,Dialogue,1,오늘은 특별한 날이잖아요?,,,,,,,
D_Ino_4_002_002,E_Ino_4_002,이노,4,2,Dialogue,2,제가 진짜 제대로 요리해봤어요!,,,,,,,
D_Ino_4_002_003,E_Ino_4_002,이노,4,2,Dialogue,3,...이번엔 진짜 먹을 수 있을 거예요!,,,,,,,
D_Ino_4_002_004,E_Ino_4_002,이노,4,2,Dialogue,4,...그러면 좋겠네요.,,,,,,,
D_Ino_4_002_C01,E_Ino_4_002,이노,4,2,Choice,1,기대할게!,C_Ino_4_002_01,,,,,,
D_Ino_4_002_C02,E_Ino_4_002,이노,4,2,Choice,2,내가 도와줄까?,C_Ino_4_002_02,,,,,,
D_Ino_4_003_001,E_Ino_4_003,이노,4,3,Dialogue,1,루아씨는 앞으로 어떤 미래를 그리고 있어요?,,,,,,,
D_Ino_4_003_002,E_Ino_4_003,이노,4,3,Dialogue,2,여왕이 되는 것도 좋지만... 다른 길을 선택해도 괜찮아요.,,,,,,,
D_Ino_4_003_003,E_Ino_4_003,이노,4,3,Dialogue,3,루아씨가 행복한 게 가장 중요하니까요.,,,,,,,
D_Ino_4_003_004,E_Ino_4_003,이노,4,3,Dialogue,4,...저는 어떤 선택을 하든 응원할게요.,,,,,,,
D_Ino_4_003_C01,E_Ino_4_003,이노,4,3,Choice,1,이노랑 계속 함께 있고 싶어,C_Ino_4_003_01,,,,,,
D_Ino_4_003_01_R06,E_Ino_4_003,이노,4,3,Result,6,,C_Ino_4_003_01,,,Stress,-15,,
D_Ino_4_003_C02,E_Ino_4_003,이노,4,3,Choice,2,아직 잘 모르겠어,C_Ino_4_003_02,,,,,,
D_Ino_5_001_001,E_Ino_5_001,이노,5,1,Dialogue,1,루아씨... 저 말이에요...,,,,,,,
D_Ino_5_001_002,E_Ino_5_001,이노,5,1,Dialogue,2,처음에는 그냥 맡아진 아이였는데...,,,,,,,
D_Ino_5_001_003,E_Ino_5_001,이노,5,1,Dialogue,3,이제는 루아씨가 없는 삶을 상상할 수 없어요.,,,,,,,
D_Ino_5_001_004,E_Ino_5_001,이노,5,1,Dialogue,4,저... 루아씨를 정말 소중하게 생각해요.,,,,,,,
D_Ino_5_001_C01,E_Ino_5_001,이노,5,1,Choice,1,나도 이노가 좋아,C_Ino_5_001_01,,,,,,
D_Ino_5_001_C02,E_Ino_5_001,이노,5,1,Choice,2,(말없이 이노를 꼭 안아준다),C_Ino_5_001_02,,,,,,
D_Ino_5_001_02_R07,E_Ino_5_001,이노,5,1,Result,7,,C_Ino_5_001_02,,,Special_Ending,Unlock,True,
D_Ino_5_002_001,E_Ino_5_002,이노,5,2,Dialogue,1,"루아씨, 18세가 되었네요...",,,,,,,
D_Ino_5_002_002,E_Ino_5_002,이노,5,2,Dialogue,2,이제 선택해야 할 시간이에요.,,,,,,,
D_Ino_5_002_003,E_Ino_5_002,이노,5,2,Dialogue,3,어떤 선택을 하든... 저는 루아씨를 지지해요.,,,,,,,
D_Ino_5_002_004,E_Ino_5_002,이노,5,2,Dialogue,4,그리고... 루아씨가 선택한 미래에 함께할게요.,,,,,,,
D_Ino_5_002_005,E_Ino_5_002,이노,5,2,Dialogue,5,약속할게요.,,,,,,,
D_Ino_5_002_C01,E_Ino_5_002,이노,5,2,Choice,1,"고마워, 이노. 정말 고마워",C_Ino_5_002_01,,,,,,
D_Ino_5_002_C02,E_Ino_5_002,이노,5,2,Choice,2,(말 없이 손을 잡고 이노를 바라본다.),C_Ino_5_002_02,,,,,,
D_Aileen_1_001_001,E_Aileen_1_001,아이린,1,1,Dialogue,1,안녕~! 나는 아이린! 이노의 소꿉친구야!,,,,,,,
D_Aileen_1_001_002,E_Aileen_1_001,아이린,1,1,Dialogue,2,이노가 여기서 뭔가를 키운다는데... 네가 그 아이구나?,,,,,,,
D_Aileen_1_001_003,E_Aileen_1_001,아이린,1,1,Dialogue,3,"어머, 너무 귀엽다! 마카롱 같아!",,,,,,,
D_Aileen_1_001_004,E_Aileen_1_001,아이린,1,1,Dialogue,4,"앗, 나는 마카롱이지만... 아무튼!",,,,,,,
D_Aileen_1_001_C01,E_Aileen_1_001,아이린,1,1,Choice,1,안녕하세요...,C_Aileen_1_001_01,,,,,,
D_Aileen_1_001_01_R06,E_Aileen_1_001,아이린,1,1,Result,6,,C_Aileen_1_001_01,,,Charm,3,,
D_Aileen_1_001_C02,E_Aileen_1_001,아이린,1,1,Choice,2,(수줍게 숨는다),C_Aileen_1_001_02,,,,,,
D_Aileen_1_002_001,E_Aileen_1_002,아이린,1,2,Dialogue,1,루아~! 내가 옷 몇 벌 가져왔어!,,,,,,,
D_Aileen_1_002_002,E_Aileen_1_002,아이린,1,2,Dialogue,2,"내가 디자인한 거야! 어때, 예쁘지?",,,,,,,
D_Aileen_1_002_003,E_Aileen_1_002,아이린,1,2,Dialogue,3,이노는 패션 감각이 전혀 없으니까... 내가 챙겨줘야지!,,,,,,,
D_Aileen_1_002_C01,E_Aileen_1_002,아이린,1,2,Choice,1,정말 예뻐요!,C_Aileen_1_002_01,,,,,,
D_Aileen_1_002_01_R05,E_Aileen_1_002,아이린,1,2,Result,5,,C_Aileen_1_002_01,,,Charm,5,,
D_Aileen_1_002_C02,E_Aileen_1_002,아이린,1,2,Choice,2,감사합니다...,C_Aileen_1_002_02,,,,,,
D_Aileen_1_003_001,E_Aileen_1_003,아이린,1,3,Dialogue,1,"루아, 쇼핑 같이 갈래?",,,,,,,
D_Aileen_1_003_002,E_Aileen_1_003,아이린,1,3,Dialogue,2,"인간 세계의 옷가게, 너무 예쁜 것들이 많아!",,,,,,,
D_Aileen_1_003_003,E_Aileen_1_003,아이린,1,3,Dialogue,3,내가 예쁘게 입혀줄게~,,,,,,,
D_Aileen_1_003_C01,E_Aileen_1_003,아이린,1,3,Choice,1,좋아요!,C_Aileen_1_003_01,,,,,,
D_Aileen_1_003_01_R05,E_Aileen_1_003,아이린,1,3,Result,5,,C_Aileen_1_003_01,,,Stress,-3,,
D_Aileen_1_003_C02,E_Aileen_1_003,아이린,1,3,Choice,2,이노는요?,C_Aileen_1_003_02,,,,,,
D_Aileen_1_003_02_R07,E_Aileen_1_003,아이린,1,3,Result,7,,C_Aileen_1_003_02,,,Stress,2,,
D_Aileen_2_001_001,E_Aileen_2_001,아이린,2,1,Dialogue,1,루아도 이제 많이 컸네~,,,,,,,
D_Aileen_2_001_002,E_Aileen_2_001,아이린,2,1,Dialogue,2,학교에서... 혹시 좋아하는 사람 있어?,,,,,,,
D_Aileen_2_001_003,E_Aileen_2_001,아이린,2,1,Dialogue,3,...이노 말고! 진짜로!,,,,,,,
D_Aileen_2_001_004,E_Aileen_2_001,아이린,2,1,Dialogue,4,"하하, 농담이야~",,,,,,,
D_Aileen_2_001_C01,E_Aileen_2_001,아이린,2,1,Choice,1,없어요!,C_Aileen_2_001_01,,,,,,
D_Aileen_2_001_C02,E_Aileen_2_001,아이린,2,1,Choice,2,...있을지도?,C_Aileen_2_001_02,,,,,,
D_Aileen_2_002_001,E_Aileen_2_002,아이린,2,2,Dialogue,1,이노랑은 잘 지내?,,,,,,,
D_Aileen_2_002_002,E_Aileen_2_002,아이린,2,2,Dialogue,2,"그 애, 서투르지만 마음씨는 참 좋거든...",,,,,,,
D_Aileen_2_002_003,E_Aileen_2_002,아이린,2,2,Dialogue,3,"처음엔 걱정했는데, 루아를 잘 챙기는 것 같아서 다행이야.",,,,,,,
D_Aileen_2_002_C01,E_Aileen_2_002,아이린,2,2,Choice,1,이노는 잘 챙겨줘요,C_Aileen_2_002_01,,,,,,
D_Aileen_2_002_01_R05,E_Aileen_2_002,아이린,2,2,Result,5,,C_Aileen_2_002_01,,,Charm,5,,
D_Aileen_2_002_C02,E_Aileen_2_002,아이린,2,2,Choice,2,둘이 무슨 사이예요?,C_Aileen_2_002_02,,,,,,
D_Aileen_2_002_02_R07,E_Aileen_2_002,아이린,2,2,Result,7,,C_Aileen_2_002_02,,,Charm,3,,
D_Aileen_2_003_001,E_Aileen_2_003,아이린,2,3,Dialogue,1,"루아, 요즘 예뻐 보이는 것 같아!",,,,,,,
D_Aileen_2_003_002,E_Aileen_2_003,아이린,2,3,Dialogue,2,혹시... 나한테서 배운 거야?,,,,,,,
D_Aileen_2_003_003,E_Aileen_2_003,아이린,2,3,Dialogue,3,"후훗, 뿌듯하네~",,,,,,,
D_Aileen_2_003_C01,E_Aileen_2_003,아이린,2,3,Choice,1,네 덕분이에요!,C_Aileen_2_003_01,,,,,,
D_Aileen_2_003_C02,E_Aileen_2_003,아이린,2,3,Choice,2,스스로 연구했어요,C_Aileen_2_003_02,,,,,,
D_Aileen_2_003_02_R06,E_Aileen_2_003,아이린,2,3,Result,6,,C_Aileen_2_003_02,,,Stress,-5,,
D_Aileen_3_001_001,E_Aileen_3_001,아이린,3,1,Dialogue,1,"루아, 요즘 여왕이 되는 거에 대해 어떻게 생각해?",,,,,,,
D_Aileen_3_001_002,E_Aileen_3_001,아이린,3,1,Dialogue,2,나도 가끔... 왕국에서 이노를 보러 오면 생각해.,,,,,,,
D_Aileen_3_001_003,E_Aileen_3_001,아이린,3,1,Dialogue,3,네가 선택한 길을 응원할게.,,,,,,,
D_Aileen_3_001_C01,E_Aileen_3_001,아이린,3,1,Choice,1,아직 모르겠어요,C_Aileen_3_001_01,,,,,,
D_Aileen_3_001_01_R05,E_Aileen_3_001,아이린,3,1,Result,5,,C_Aileen_3_001_01,,,Charm,8,,
D_Aileen_3_001_C02,E_Aileen_3_001,아이린,3,1,Choice,2,아이린은 왕국에서 좋아하는 사람 있어요?,C_Aileen_3_001_02,,,,,,
D_Aileen_3_001_02_R07,E_Aileen_3_001,아이린,3,1,Result,7,,C_Aileen_3_001_02,,,Stress,-3,,
D_Aileen_3_002_001,E_Aileen_3_002,아이린,3,2,Dialogue,1,"생일 축하해, 루아!",,,,,,,
D_Aileen_3_002_002,E_Aileen_3_002,아이린,3,2,Dialogue,2,내가 특별히 디자인한 드레스야!,,,,,,,
D_Aileen_3_002_003,E_Aileen_3_002,아이린,3,2,Dialogue,3,네가 언젠가 여왕이 되면 입을 예쁜 옷이지~,,,,,,,
D_Aileen_3_002_004,E_Aileen_3_002,아이린,3,2,Dialogue,4,...물론 다른 길을 선택해도 예쁘게 입을 수 있지만!,,,,,,,
D_Aileen_3_002_C01,E_Aileen_3_002,아이린,3,2,Choice,1,정말 고마워요!,C_Aileen_3_002_01,,,,,,
D_Aileen_3_002_C02,E_Aileen_3_002,아이린,3,2,Choice,2,...여왕이 안 될 수도 있는데,C_Aileen_3_002_02,,,,,,
D_Aileen_3_003_001,E_Aileen_3_003,아이린,3,3,Dialogue,1,루아... 솔직히 말해도 돼?,,,,,,,
D_Aileen_3_003_002,E_Aileen_3_003,아이린,3,3,Dialogue,2,나는 이노를... 좋아했었어.,,,,,,,
D_Aileen_3_003_003,E_Aileen_3_003,아이린,3,3,Dialogue,3,그런데 지금은 루아랑 함께 있는 모습을 보는 게 더 좋아.,,,,,,,
D_Aileen_3_003_004,E_Aileen_3_003,아이린,3,3,Dialogue,4,너희 둘이 행복하면... 나도 행복해.,,,,,,,
D_Aileen_3_003_C01,E_Aileen_3_003,아이린,3,3,Choice,1,"고마워요, 아이린",C_Aileen_3_003_01,,,,,,
D_Aileen_3_003_01_R06,E_Aileen_3_003,아이린,3,3,Result,6,,C_Aileen_3_003_01,,,Charm,5,,
D_Aileen_3_003_C02,E_Aileen_3_003,아이린,3,3,Choice,2,우리 셋이 다 함께 있으면 좋겠어요,C_Aileen_3_003_02,,,,,,
D_Aileen_3_003_02_R08,E_Aileen_3_003,아이린,3,3,Result,8,,C_Aileen_3_003_02,,,Stress,-5,,
D_Aileen_4_001_001,E_Aileen_4_001,아이린,4,1,Dialogue,1,"루아, 내가 널 위해서 특별한 걸 만들고 있어!",,,,,,,
D_Aileen_4_001_002,E_Aileen_4_001,아이린,4,1,Dialogue,2,18세가 되면 네가 선택할 미래를 위한...,,,,,,,
D_Aileen_4_001_003,E_Aileen_4_001,아이린,4,1,Dialogue,3,특별한 의상이지!,,,,,,,
D_Aileen_4_001_004,E_Aileen_4_001,아이린,4,1,Dialogue,4,어떤 미래를 선택하든 예쁘게 꾸며줄게!,,,,,,,
D_Aileen_4_001_C01,E_Aileen_4_001,아이린,4,1,Choice,1,기대돼요!,C_Aileen_4_001_01,,,,,,
D_Aileen_4_001_C02,E_Aileen_4_001,아이린,4,1,Choice,2,어떤 미래든 괜찮을까요?,C_Aileen_4_001_02,,,,,,
D_Aileen_4_002_001,E_Aileen_4_002,아이린,4,2,Dialogue,1,"루아, 왕국에 놀러 올래?",,,,,,,
D_Aileen_4_002_002,E_Aileen_4_002,아이린,4,2,Dialogue,2,내가 있는 곳도 보여주고 싶어.,,,,,,,
D_Aileen_4_002_003,E_Aileen_4_002,아이린,4,2,Dialogue,3,물론 이노도 데리고 오면 좋고...,,,,,,,
D_Aileen_4_002_004,E_Aileen_4_002,아이린,4,2,Dialogue,4,아니면 우리 둘만 비밀 여행?,,,,,,,
D_Aileen_4_002_C01,E_Aileen_4_002,아이린,4,2,Choice,1,좋아요! 이노도 초대할게요,C_Aileen_4_002_01,,,,,,
D_Aileen_4_002_C02,E_Aileen_4_002,아이린,4,2,Choice,2,둘이서 조용히 다녀올까요?,C_Aileen_4_002_02,,,,,,
D_Aileen_4_002_02_R07,E_Aileen_4_002,아이린,4,2,Result,7,,C_Aileen_4_002_02,,,Stress,-10,,
D_Aileen_5_001_001,E_Aileen_5_001,아이린,5,1,Dialogue,1,루아... 네가 어떤 선택을 하든...,,,,,,,
D_Aileen_5_001_002,E_Aileen_5_001,아이린,5,1,Dialogue,2,나는 네 친구로 남을 거야.,,,,,,,
D_Aileen_5_001_003,E_Aileen_5_001,아이린,5,1,Dialogue,3,"평생, 정말이지.",,,,,,,
D_Aileen_5_001_004,E_Aileen_5_001,아이린,5,1,Dialogue,4,"여왕이 되든, 다른 길을 가든... 너는 내 소중한 친구야.",,,,,,,
D_Aileen_5_001_C01,E_Aileen_5_001,아이린,5,1,Choice,1,나도 아이린을 영원한 친구로 생각해요,C_Aileen_5_001_01,,,,,,
D_Aileen_5_001_C02,E_Aileen_5_001,아이린,5,1,Choice,2,(말없이 꼭 안아준다),C_Aileen_5_001_02,,,,,,
D_Kyle_1_001_001,E_Kyle_1_001,카일,1,1,Dialogue,1,...안녕하십니까.,,,,,,,
D_Kyle_1_001_002,E_Kyle_1_001,카일,1,1,Dialogue,2,전 루아 님을 지키는 카일입니다.,,,,,,,
D_Kyle_1_001_003,E_Kyle_1_001,카일,1,1,Dialogue,3,항상 멀리서 지켜보고 있습니다. 걱정 마십시오.,,,,,,,
D_Kyle_1_001_004,E_Kyle_1_001,카일,1,1,Dialogue,4,...그럼 실례하겠습니다.,,,,,,,
D_Kyle_1_001_C01,E_Kyle_1_001,카일,1,1,Choice,1,잠깐만요!,C_Kyle_1_001_01,,,,,,
D_Kyle_1_001_C02,E_Kyle_1_001,카일,1,1,Choice,2,(멀어지는 모습을 바라본다),C_Kyle_1_001_02,,,,,,
D_Kyle_1_002_001,E_Kyle_1_002,카일,1,2,Dialogue,1,"루아 님, 혹시 위험한 일은 없으셨습니까?",,,,,,,
D_Kyle_1_002_002,E_Kyle_1_002,카일,1,2,Dialogue,2,"그... 이노 님께서는 성실하신데, 다소 서투르시니...",,,,,,,
D_Kyle_1_002_003,E_Kyle_1_002,카일,1,2,Dialogue,3,"아, 제가 이런 말을 해도 되는 건지...",,,,,,,
D_Kyle_1_002_004,E_Kyle_1_002,카일,1,2,Dialogue,4,죄송합니다.,,,,,,,
D_Kyle_1_002_C01,E_Kyle_1_002,카일,1,2,Choice,1,이노는 괜찮아요,C_Kyle_1_002_01,,,,,,
D_Kyle_1_002_C02,E_Kyle_1_002,카일,1,2,Choice,2,카일도 고생하시는 것 같아요,C_Kyle_1_002_02,,,,,,
D_Kyle_2_001_001,E_Kyle_2_001,카일,2,1,Dialogue,1,"루아 님, 왕국에서 편지가 왔습니다.",,,,,,,
D_Kyle_2_001_002,E_Kyle_2_001,카일,2,1,Dialogue,2,여왕께서 루아 님의 근황을 물어보시고...,,,,,,,
D_Kyle_2_001_003,E_Kyle_2_001,카일,2,1,Dialogue,3,그리고 저에게 루아 님을 잘 지키라고...,,,,,,,
D_Kyle_2_001_004,E_Kyle_2_001,카일,2,1,Dialogue,4,...부탁하셨습니다.,,,,,,,
