Dialogue_ID,Text_Type,Sequence,Choice_ID,Text_Content,Next_Dialogue_ID,Stat_Changes,Favor_Changes,Note
D_Aileen_L2_002,Choice,2,2,둘이 무슨 사이예요?,D_Aileen_L2_002_Result2,,아이린 +5 이노 +5,
D_Aileen_L2_002,Result,1,,호감도 +8,,,아이린 +8,선택지 1 결과
D_Aileen_L2_002,Result,2,,호감도 +5 이노 호감도 +5,,,아이린 +5,선택지 2 결과
## 이벤트 3: 패션 조언,,,,,,,,
D_Aileen_L2_003,Dialogue,1,,루아 요즘 예뻐 보이는 것 같아!,,,,
D_Aileen_L2_003,Dialogue,2,,혹시... 나한테서 배운 거야?,,,,
D_Aileen_L2_003,Dialogue,3,,후훗 뿌듯하네~,,,,
D_Aileen_L2_003,Choice,1,1,네 덕분이에요!,D_Aileen_L2_003_Result1,매력 +5,아이린 +10,
D_Aileen_L2_003,Choice,2,2,스스로 연구했어요,D_Aileen_L2_003_Result2,매력 +3,아이린 +3,
D_Aileen_L2_003,Result,1,,호감도 +10 매력 +5,,,아이린 +10,선택지 1 결과
D_Aileen_L2_003,Result,2,,호감도 +3 매력 +3,,,아이린 +3,선택지 2 결과
# 아이린 - 레벨 3 (41~60): 친한 친구,,,,,,,,
## 이벤트 1: 고민 상담,,,,,,,,
D_Aileen_L3_001,Dialogue,1,,루아 요즘 여왕이 되는 거에 대해 어떻게 생각해?,,,,
D_Aileen_L3_001,Dialogue,2,,나도 가끔... 왕국에서 이노를 보러 오면 생각해.,,,,
D_Aileen_L3_001,Dialogue,3,,네가 선택한 길을 응원할게.,,,,
D_Aileen_L3_001,Choice,1,1,아직 모르겠어요,D_Aileen_L3_001_Result1,,아이린 +8,
D_Aileen_L3_001,Choice,2,2,아이린은 왕국에서 좋아하는 사람 있어요?,D_Aileen_L3_001_Result2,스트레스 -5,아이린 +12,
D_Aileen_L3_001,Result,1,,호감도 +8,,,아이린 +8,선택지 1 결과
D_Aileen_L3_001,Result,2,,호감도 +12 스트레스 -5,,,아이린 +12,선택지 2 결과
## 이벤트 2: 특별한 선물,,,,,,,,
D_Aileen_L3_002,Dialogue,1,,생일 축하해 루아!,,,,
D_Aileen_L3_002,Dialogue,2,,내가 특별히 디자인한 드레스야!,,,,
D_Aileen_L3_002,Dialogue,3,,네가 언젠가 여왕이 되면 입을 예쁜 옷이지~,,,,
D_Aileen_L3_002,Dialogue,4,,...물론 다른 길을 선택해도 예쁘게 입을 수 있지만!,,,,
D_Aileen_L3_002,Choice,1,1,정말 고마워요!,D_Aileen_L3_002_Result1,매력 +8,아이린 +15,
D_Aileen_L3_002,Choice,2,2,...여왕이 안 될 수도 있는데,D_Aileen_L3_002_Result2,스트레스 -3,아이린 +10,
D_Aileen_L3_002,Result,1,,호감도 +15 매력 +8,,,아이린 +15,선택지 1 결과
D_Aileen_L3_002,Result,2,,호감도 +10 스트레스 -3,,,아이린 +10,선택지 2 결과
## 이벤트 3: 솔직한 대화,,,,,,,,
D_Aileen_L3_003,Dialogue,1,,루아... 솔직히 말해도 돼?,,,,
D_Aileen_L3_003,Dialogue,2,,나는 이노를... 좋아했었어.,,,,
D_Aileen_L3_003,Dialogue,3,,그런데 지금은 루아랑 함께 있는 모습을 보는 게 더 좋아.,,,,
D_Aileen_L3_003,Dialogue,4,,너희 둘이 행복하면... 나도 행복해.,,,,
D_Aileen_L3_003,Choice,1,1,고마워요 아이린,D_Aileen_L3_003_Result1,,아이린 +18,
D_Aileen_L3_003,Choice,2,2,우리 셋이 다 함께 있으면 좋겠어요,D_Aileen_L3_003_Result2,,아이린 +15 이노 +5,
D_Aileen_L3_003,Result,1,,호감도 +18,,,아이린 +18,선택지 1 결과
D_Aileen_L3_003,Result,2,,호감도 +15 이노 호감도 +5,,,아이린 +15,선택지 2 결과
# 아이린 - 레벨 4 (61~80): 높은 신뢰,,,,,,,,
## 이벤트 1: 디자인 의뢰,,,,,,,,
D_Aileen_L4_001,Dialogue,1,,루아 내가 널 위해서 특별한 걸 만들고 있어!,,,,
D_Aileen_L4_001,Dialogue,2,,18세가 되면 네가 선택할 미래를 위한...,,,,
D_Aileen_L4_001,Dialogue,3,,특별한 의상이지!,,,,
D_Aileen_L4_001,Dialogue,4,,어떤 미래를 선택하든 예쁘게 꾸며줄게!,,,,
D_Aileen_L4_001,Choice,1,1,기대돼요!,D_Aileen_L4_001_Result1,매력 +5,아이린 +15,
D_Aileen_L4_001,Choice,2,2,어떤 미래든 괜찮을까요?,D_Aileen_L4_001_Result2,스트레스 -5,아이린 +12,
D_Aileen_L4_001,Result,1,,호감도 +15 매력 +5,,,아이린 +15,선택지 1 결과
D_Aileen_L4_001,Result,2,,호감도 +12 스트레스 -5,,,아이린 +12,선택지 2 결과
## 이벤트 2: 왕국 방문 초대,,,,,,,,
D_Aileen_L4_002,Dialogue,1,,루아 왕국에 놀러 올래?,,,,
D_Aileen_L4_002,Dialogue,2,,내가 있는 곳도 보여주고 싶어.,,,,
D_Aileen_L4_002,Dialogue,3,,물론 이노도 데리고 오면 좋고...,,,,
D_Aileen_L4_002,Dialogue,4,,아니면 우리 둘만 비밀 여행?,,,,
D_Aileen_L4_002,Choice,1,1,좋아요! 이노도 초대할게요,D_Aileen_L4_002_Result1,,아이린 +10 이노 +5,
D_Aileen_L4_002,Choice,2,2,둘이서 조용히 다녀올까요?,D_Aileen_L4_002_Result2,,아이린 +18,
D_Aileen_L4_002,Result,1,,호감도 +10 이노 호감도 +5,,,아이린 +10,선택지 1 결과
D_Aileen_L4_002,Result,2,,호감도 +18,,,아이린 +18,선택지 2 결과
# 아이린 - 레벨 5 (81~100): 깊은 유대,,,,,,,,
## 이벤트 1: 영원한 우정,,,,,,,,
D_Aileen_L5_001,Dialogue,1,,루아... 네가 어떤 선택를 하든...,,,,
D_Aileen_L5_001,Dialogue,2,,나는 네 친구로 남을 거야.,,,,
D_Aileen_L5_001,Dialogue,3,,평생 정말이지.,,,,
D_Aileen_L5_001,Dialogue,4,,여왕이 되든 다른 길을 가든... 너는 내 소중한 친구야.,,,,
D_Aileen_L5_001,Choice,1,1,나도 아이린을 영원한 친구로 생각해요,D_Aileen_L5_001_Result1,,아이린 +25,
D_Aileen_L5_001,Choice,2,2,(말없이 꼭 안아준다),D_Aileen_L5_001_Result2,스트레스 -10,아이린 +30,
D_Aileen_L5_001,Result,1,,호감도 +25,,,아이린 +25,선택지 1 결과
D_Aileen_L5_001,Result,2,,호감도 +30 스트레스 -10,,,아이린 +30,선택지 2 결과
# 카일 - 레벨 1 (0~20): 첫 만남,,,,,,,,
## 이벤트 1: 은밀한 등장,,,,,,,,
D_Kyle_L1_001,Dialogue,1,...안녕하십니까.,,,,
D_Kyle_L1_001,Dialogue,2,,전 루아 님을 지키는 카일입니다.,,,,
D_Kyle_L1_001,Dialogue,3,,항상 멀리서 지켜보고 있습니다. 걱정 마십시오.,,,,
D_Kyle_L1_001,Dialogue,4,...그럼 실례하겠습니다.,,,,
D_Kyle_L1_001,Choice,1,1,잠깐만요!,D_Kyle_L1_001_Result1,,카일 +3,
D_Kyle_L1_001,Choice,2,2,(멀어지는 모습을 바라본다),D_Kyle_L1_001_Result2,,카일 +5,
D_Kyle_L1_001,Result,1,,호감도 +3,,,카일 +3,선택지 1 결과
D_Kyle_L1_001,Result,2,,호감도 +5,,,카일 +5,선택지 2 결과
## 이벤트 2: 호위자의 고민,,,,,,,,
D_Kyle_L1_002,Dialogue,1,,루아 님 혹시 위험한 일은 없으셨습니까?,,,,
D_Kyle_L1_002,Dialogue,2,,그... 이노 님께서는 성실하신데 다소 서투르시니...,,,,
D_Kyle_L1_002,Dialogue,3,,아 제가 이런 말을 해도 되는 건지...,,,,
D_Kyle_L1_002,Dialogue,4,,죄송합니다.,,,,
D_Kyle_L1_002,Choice,1,1,이노는 괜찮아요,D_Kyle_L1_002_Result1,,카일 +5 이노 +3,
D_Kyle_L1_002,Choice,2,2,카일도 고생하시는 것 같아요,D_Kyle_L1_002_Result2,,카일 +8,
D_Kyle_L1_002,Result,1,,호감도 +5 이노 호감도 +3,,,카일 +5,선택지 1 결과
D_Kyle_L1_002,Result,2,,호감도 +8,,,카일 +8,선택지 2 결과
# 카일 - 레벨 2 (21~40): 신뢰,,,,,,,,
## 이벤트 1: 왕국 소식 전달,,,,,,,,
D_Kyle_L2_001,Dialogue,1,,루아 님 왕국에서 편지가 왔습니다.,,,,
D_Kyle_L2_001,Dialogue,2,,여왕께서 루아 님의 근황을 물어보시고...,,,,
D_Kyle_L2_001,Dialogue,3,,그리고 저에게 루아 님을 잘 지키라고...,,,,
D_Kyle_L2_001,Dialogue,4,...부탁하셨습니다.,,,,
D_Kyle_L2_001,Choice,1,1,고마워요,D_Kyle_L2_001_Result1,,카일 +8,
D_Kyle_L2_001,Choice,2,2,카일은 힘들지 않아요?,D_Kyle_L2_001_Result2,,카일 +10,
D_Kyle_L2_001,Result,1,,호감도 +8,,,카일 +8,선택지 1 결과
D_Kyle_L2_001,Result,2,,호감도 +10,,,카일 +10,선택지 2 결과
## 이벤트 2: 비밀 훈련,,,,,,,,
D_Kyle_L2_002,Dialogue,1,,루아 님 혹시 호신술에 관심이 있으십니까?,,,,
D_Kyle_L2_002,Dialogue,2,,여왕이 되면 위험도 따르니... 기본적인 것이라도...,,,,
D_Kyle_L2_002,Dialogue,3,,제가 가르쳐 드릴까 합니다.,,,,
D_Kyle_L2_002,Choice,1,1,배울래요!,D_Kyle_L2_002_Result1,체력 +10,카일 +12,
D_Kyle_L2_002,Choice,2,2,평화롭게 지내고 싶어요,D_Kyle_L2_002_Result2,,카일 +5,
D_Kyle_L2_002,Result,1,,호감도 +12 체력 +10,,,카일 +12,선택지 1 결과
D_Kyle_L2_002,Result,2,,호감도 +5,,,카일 +5,선택지 2 결과
# 카일 - 레벨 3 (41~60): 깊은 신뢰,,,,,,,,
## 이벤트 1: 진심 어린 조언,,,,,,,,
D_Kyle_L3_001,Dialogue,1,,루아 님... 전 사실...,,,,
