Simulation,Batch,Ending,TotalStats,Stress,Money,Age,Turns,HP,CHARM,INT,ART,MORALITY,Ino_Favor,Aileen_Favor,Kyle_Favor,Lian_Favor,Events_Count,Success
29,3,자유로운 영혼,2747,0,200,18,141,558,594,624,465,506,58,28,59,68,9,Yes
30,3,자유로운 영혼,2875,0,220,18,141,662,598,666,430,519,66,10,53,59,9,Yes
31,4,자유로운 영혼,2901,0,140,18,141,712,614,626,495,454,40,15,67,69,9,Yes
32,4,자유로운 영혼,2809,24,260,18,141,606,625,638,433,507,72,15,31,50,9,Yes
33,4,자유로운 영혼,2871,2,320,18,141,654,588,674,474,481,71,23,40,77,9,Yes
34,4,자유로운 영혼,2782,21,150,18,141,762,604,556,516,344,82,18,31,66,9,Yes
35,4,자유로운 영혼,2815,15,140,18,141,544,614,674,492,491,54,27,37,93,9,Yes
36,4,자유로운 영혼,2789,31,140,18,141,624,596,702,474,393,55,18,47,75,9,Yes
37,4,자유로운 영혼,2673,0,90,18,141,594,609,528,405,537,73,4,97,73,9,Yes
38,4,자유로운 영혼,2837,8,240,18,141,686,628,672,448,403,45,34,55,63,9,Yes
39,4,자유로운 영혼,2865,0,170,18,141,688,607,616,425,529,80,0,53,66,9,Yes
40,4,자유로운 영혼,2729,0,200,18,141,600,587,562,517,463,66,19,39,71,9,Yes
41,5,자유로운 영혼,2844,23,220,18,141,664,618,672,427,463,83,34,64,77,9,Yes
42,5,자유로운 영혼,2701,13,450,18,141,616,571,626,434,454,59,18,47,79,9,Yes
43,5,자유로운 영혼,2760,3,160,18,141,588,619,560,418,575,51,21,38,68,9,Yes
44,5,자유로운 영혼,2764,21,120,18,141,668,621,606,435,434,60,47,48,58,9,Yes
45,5,자유로운 영혼,2835,21,140,18,141,654,629,682,467,403,69,35,31,63,9,Yes
46,5,자유로운 영혼,2790,0,240,18,141,654,598,674,413,451,62,5,40,70,9,Yes
47,5,자유로운 영혼,2731,0,150,18,141,630,598,612,448,443,71,14,32,82,9,Yes
48,5,자유로운 영혼,2895,0,120,18,141,720,615,700,485,375,40,15,51,74,9,Yes
49,5,자유로운 영혼,2791,0,190,18,141,578,607,660,436,510,53,4,54,75,9,Yes
50,5,자유로운 영혼,2694,3,250,18,141,710,592,584,397,411,72,12,44,73,9,Yes
51,6,자유로운 영혼,2676,0,280,18,141,468,585,620,418,585,55,52,37,78,9,Yes
52,6,자유로운 영혼,2878,9,50,18,141,704,569,554,575,476,87,42,60,63,9,Yes
53,6,자유로운 영혼,2897,0,200,18,141,730,606,600,481,480,58,6,42,75,9,Yes
54,6,자유로운 영혼,2672,1,170,18,141,572,585,588,505,422,72,19,41,84,9,Yes
55,6,자유로운 영혼,2750,3,340,18,141,590,567,560,498,535,54,10,39,62,9,Yes
56,6,자유로운 영혼,2747,33,100,18,141,664,633,620,420,410,59,44,65,53,9,Yes
57,6,자유로운 영혼,2761,9,50,18,141,606,627,602,453,473,71,28,54,50,9,Yes
58,6,자유로운 영혼,2778,2,50,18,141,612,597,532,539,498,55,28,74,83,9,Yes
59,6,자유로운 영혼,2704,2,230,18,141,606,585,624,388,501,64,14,73,63,9,Yes
60,6,자유로운 영혼,2779,31,160,18,141,612,601,616,441,509,55,16,62,71,9,Yes
61,7,자유로운 영혼,2650,1,150,18,141,576,587,560,472,455,62,23,67,61,9,Yes
62,7,자유로운 영혼,2760,2,130,18,141,644,634,660,427,395,83,15,52,70,9,Yes
63,7,자유로운 영혼,2731,0,200,18,141,702,565,616,424,424,69,30,35,66,9,Yes
64,7,자유로운 영혼,2749,16,200,18,141,644,612,618,458,417,94,1,65,68,9,Yes
65,7,자유로운 영혼,2761,17,130,18,141,562,597,680,442,480,69,16,46,57,9,Yes
66,7,자유로운 영혼,2714,24,210,18,141,682,623,580,384,445,71,13,50,56,9,Yes
67,7,자유로운 영혼,2736,1,350,18,141,590,578,684,438,446,49,29,35,52,9,Yes
68,7,자유로운 영혼,2804,6,140,18,141,604,651,634,434,481,79,22,38,50,9,Yes
69,7,자유로운 영혼,2736,18,230,18,141,570,597,640,494,435,58,10,37,71,9,Yes
70,7,자유로운 영혼,2634,8,110,18,141,626,603,528,435,442,87,4,51,55,9,Yes
71,8,자유로운 영혼,2796,10,100,18,141,696,639,646,426,389,67,3,60,100,9,Yes
72,8,자유로운 영혼,2722,10,120,18,141,584,608,616,460,454,64,6,61,51,9,Yes
73,8,자유로운 영혼,2708,4,460,18,141,668,606,516,474,444,63,15,27,71,9,Yes
74,8,자유로운 영혼,2695,11,130,18,141,580,636,528,464,487,64,29,35,71,9,Yes
75,8,자유로운 영혼,2745,7,210,18,141,604,614,602,467,458,56,30,49,50,9,Yes
76,8,자유로운 영혼,2888,0,140,18,141,750,605,636,448,449,61,29,38,63,9,Yes
77,8,자유로운 영혼,2766,4,160,18,141,630,616,596,510,414,65,26,59,65,9,Yes
78,8,자유로운 영혼,2716,0,160,18,141,592,590,604,459,471,53,36,34,82,9,Yes
79,8,자유로운 영혼,2795,0,110,18,141,634,624,628,427,482,100,6,33,68,9,Yes
80,8,자유로운 영혼,2801,0,260,18,141,768,611,590,417,415,55,22,71,62,9,Yes
81,9,자유로운 영혼,2804,0,80,18,141,640,595,608,454,507,60,12,39,67,9,Yes
82,9,자유로운 영혼,2756,0,130,18,141,612,620,660,449,415,64,23,54,77,9,Yes
83,9,자유로운 영혼,2818,2,100,18,141,734,608,608,476,392,85,16,44,67,9,Yes
84,9,자유로운 영혼,2781,0,190,18,141,636,615,682,445,403,90,29,52,50,9,Yes
85,9,자유로운 영혼,2870,0,70,18,141,688,612,562,500,508,70,15,55,76,9,Yes
86,9,자유로운 영혼,2841,0,100,18,141,658,601,674,512,396,61,13,57,78,9,Yes
87,9,자유로운 영혼,2792,5,70,18,141,694,602,596,416,484,54,10,48,70,9,Yes
88,9,자유로운 영혼,2718,0,160,18,141,548,573,630,472,495,72,20,100,82,9,Yes
89,9,자유로운 영혼,2858,0,180,18,141,612,632,640,479,495,70,7,36,65,9,Yes
90,9,자유로운 영혼,2755,10,140,18,141,662,633,514,470,476,52,10,39,84,9,Yes
91,10,자유로운 영혼,2787,3,330,18,141,640,601,666,396,484,54,49,66,81,9,Yes
92,10,자유로운 영혼,2867,2,50,18,141,674,575,686,498,434,68,10,47,77,9,Yes
93,10,자유로운 영혼,2846,0,290,18,141,666,589,642,446,503,77,0,23,69,9,Yes
94,10,자유로운 영혼,2915,8,240,18,141,686,609,654,425,541,76,20,53,74,9,Yes
95,10,자유로운 영혼,2780,14,100,18,141,768,633,556,394,429,72,26,58,76,9,Yes
96,10,자유로운 영혼,2771,0,110,18,141,578,596,654,472,471,62,65,58,76,9,Yes
97,10,자유로운 영혼,2882,2,130,18,141,620,611,716,476,459,68,16,38,68,9,Yes
98,10,자유로운 영혼,2836,6,130,18,141,656,612,528,478,562,59,61,60,79,9,Yes
99,10,자유로운 영혼,2725,8,200,18,141,530,611,676,459,449,70,36,48,72,9,Yes
100,10,자유로운 영혼,2791,0,100,18,141,782,622,616,412,359,83,22,52,61,9,Yes
