Simulation,Batch,Ending,TotalStats,Stress,Money,Age,Turns,HP,CHARM,INT,ART,MORALITY,Ino_Favor,Aileen_Favor,Kyle_Favor,Lian_Favor,Events_Count,Success
37,4,자유로운 영혼,2760,8,110,18,141,512,600,662,488,498,68,38,64,73,9,Yes
38,4,자유로운 영혼,2751,0,220,18,141,704,626,572,411,438,63,0,43,83,9,Yes
39,4,자유로운 영혼,2746,3,200,18,141,592,601,666,463,424,66,36,26,92,9,Yes
40,4,자유로운 영혼,2720,18,120,18,141,696,603,582,396,443,60,27,52,66,9,Yes
41,5,자유로운 영혼,2835,0,150,18,141,670,615,638,485,427,69,2,52,73,9,Yes
42,5,자유로운 영혼,2909,21,100,18,141,748,588,746,483,344,83,29,36,75,9,Yes
43,5,자유로운 영혼,2685,0,210,18,141,576,598,564,466,481,64,17,63,70,9,Yes
44,5,자유로운 영혼,2806,9,150,18,141,668,597,656,506,379,57,24,44,68,9,Yes
45,5,자유로운 영혼,2807,14,120,18,141,656,619,646,412,474,63,33,36,81,9,Yes
46,5,자유로운 영혼,2807,8,70,18,141,598,598,684,431,496,62,22,59,60,9,Yes
47,5,자유로운 영혼,2710,0,280,18,141,586,580,582,499,463,73,6,51,55,9,Yes
48,5,자유로운 영혼,2743,0,110,18,141,618,617,544,443,521,100,19,33,58,9,Yes
49,5,자유로운 영혼,2865,29,160,18,141,776,608,676,406,399,77,12,67,57,9,Yes
50,5,자유로운 영혼,2677,0,160,18,141,646,602,558,444,427,60,24,53,53,9,Yes
51,6,자유로운 영혼,2631,0,310,18,141,566,600,532,495,438,74,13,36,83,9,Yes
52,6,자유로운 영혼,2896,0,150,18,141,628,624,714,474,456,70,13,40,55,9,Yes
53,6,자유로운 영혼,2799,0,70,18,141,588,588,598,553,472,54,15,45,76,9,Yes
54,6,자유로운 영혼,2899,0,180,18,141,734,616,676,404,469,95,12,42,96,9,Yes
55,6,자유로운 영혼,2760,0,110,18,141,706,623,542,471,418,70,33,62,70,9,Yes
56,6,자유로운 영혼,2813,0,120,18,141,698,635,628,425,427,57,79,46,57,9,Yes
57,6,자유로운 영혼,2671,10,150,18,141,640,614,570,362,485,63,5,41,78,9,Yes
58,6,자유로운 영혼,2799,0,230,18,141,638,615,570,466,510,79,24,46,64,9,Yes
59,6,자유로운 영혼,2877,0,140,18,141,644,629,670,499,435,60,22,26,60,9,Yes
60,6,자유로운 영혼,2867,12,150,18,141,646,579,680,517,445,61,14,40,63,9,Yes
61,7,자유로운 영혼,2643,7,230,18,141,580,584,638,399,442,56,34,56,83,9,Yes
62,7,자유로운 영혼,2741,8,80,18,141,634,575,602,467,463,61,17,69,50,9,Yes
63,7,자유로운 영혼,2760,6,230,18,141,622,583,642,500,413,48,4,40,62,9,Yes
64,7,자유로운 영혼,2876,2,120,18,141,754,615,626,397,484,59,8,40,82,9,Yes
65,7,자유로운 영혼,2822,3,130,18,141,658,630,576,424,534,43,3,51,53,9,Yes
66,7,자유로운 영혼,2880,7,170,18,141,750,585,624,535,386,82,19,52,55,9,Yes
67,7,자유로운 영혼,2738,23,210,18,141,568,603,642,457,468,54,40,39,89,9,Yes
68,7,자유로운 영혼,2696,5,160,18,141,632,599,524,445,496,56,7,48,76,9,Yes
69,7,자유로운 영혼,2882,7,130,18,141,644,569,694,504,471,84,18,39,66,9,Yes
70,7,자유로운 영혼,2856,0,120,18,141,634,626,680,426,490,48,6,41,68,9,Yes
71,8,자유로운 영혼,2925,0,50,18,141,804,614,624,457,426,64,29,28,65,9,Yes
72,8,자유로운 영혼,2889,10,60,18,141,660,602,710,442,475,65,18,64,63,9,Yes
73,8,자유로운 영혼,2811,16,150,18,141,638,600,570,443,560,66,28,49,69,9,Yes
74,8,자유로운 영혼,2888,0,240,18,141,634,596,714,478,466,49,32,40,74,9,Yes
75,8,자유로운 영혼,2769,0,160,18,141,714,623,614,357,461,95,11,24,74,9,Yes
76,8,자유로운 영혼,2675,0,220,18,141,600,636,570,434,435,74,50,49,76,9,Yes
77,8,자유로운 영혼,2927,6,290,18,141,632,572,674,513,536,65,15,19,54,9,Yes
78,8,자유로운 영혼,2876,0,320,18,141,682,604,670,475,445,73,28,45,53,9,Yes
79,8,자유로운 영혼,2760,0,230,18,141,674,598,596,448,444,63,6,26,67,9,Yes
80,8,자유로운 영혼,2875,0,110,18,141,748,617,670,455,385,59,19,54,83,9,Yes
81,9,자유로운 영혼,2791,16,140,18,141,654,605,624,447,461,44,3,40,51,9,Yes
82,9,자유로운 영혼,2702,5,140,18,141,658,619,600,420,405,59,40,37,97,9,Yes
83,9,자유로운 영혼,2837,4,140,18,141,658,630,668,404,477,71,19,56,59,9,Yes
84,9,자유로운 영혼,2733,0,110,18,141,622,625,504,456,526,74,33,37,84,9,Yes
85,9,자유로운 영혼,2771,11,300,18,141,626,577,534,513,521,77,26,40,83,9,Yes
86,9,자유로운 영혼,2816,0,90,18,141,764,601,570,446,435,59,25,41,86,9,Yes
87,9,자유로운 영혼,2744,2,200,18,141,582,631,614,461,456,67,27,40,81,9,Yes
88,9,자유로운 영혼,2769,14,160,18,141,646,603,574,475,471,60,0,35,64,9,Yes
89,9,자유로운 영혼,2772,8,190,18,141,614,597,646,461,454,98,11,39,67,9,Yes
90,9,자유로운 영혼,2723,21,270,18,141,636,588,638,449,412,68,8,81,94,9,Yes
91,10,자유로운 영혼,2698,0,420,18,141,674,604,582,360,478,88,24,39,68,9,Yes
92,10,자유로운 영혼,2743,0,150,18,141,654,635,588,409,457,50,26,48,99,9,Yes
93,10,자유로운 영혼,2766,2,110,18,141,570,608,584,528,476,68,14,55,80,9,Yes
94,10,자유로운 영혼,2848,0,200,18,141,684,628,616,441,479,46,24,26,74,9,Yes
95,10,자유로운 영혼,2759,20,130,18,141,592,629,634,493,411,55,20,63,79,9,Yes
96,10,자유로운 영혼,2794,23,60,18,141,704,608,608,442,432,91,35,48,63,9,Yes
97,10,자유로운 영혼,2784,20,110,18,141,620,632,534,447,551,64,16,54,58,9,Yes
98,10,자유로운 영혼,2707,7,100,18,141,548,628,554,486,491,68,39,27,77,9,Yes
99,10,자유로운 영혼,2826,14,100,18,141,626,606,686,429,479,89,10,25,99,9,Yes
100,10,자유로운 영혼,2744,0,230,18,141,644,641,618,414,427,59,14,45,56,9,Yes
